,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
27,27,0.07774993150002973,0.00014628518396528836,0.0254432719933392,4.6,9.4,314.6
28,28,0.09144592434515411,0.00011802935104722049,0.028976475995801675,4.2,8.2,325.2
29,29,0.08647137111836875,3.5457698891800006e-05,0.027886372655764657,4.2,8.8,335.2
30,30,0.08647137111836875,0.00015785342875328045,0.026854558387245892,2.6,8.6,345.0
31,31,0.07616898333462013,0.00017562416199922424,0.024917823685723327,4.8,8.0,355.8
32,32,0.07806529530251234,0.00014136377122663345,0.026166149862825082,4.8,8.4,364.6
33,33,0.07334045994093662,0.00015392343727761116,0.026980962628274124,4.4,9.4,373.6
34,34,0.08105816810264546,0.00011903839417421952,0.028426032810091862,4.6,9.6,382.8
35,35,0.09323647933560218,0.00010337823440504344,0.03056649948639887,5.0,9.4,391.8
36,36,0.08259070179617836,0.000144603676026405,0.031120836857240937,5.8,8.8,401.4
37,37,0.08629158818223212,0.0001345398865650777,0.02777624505753018,4.6,7.6,412.2
38,38,0.08685238417169809,0.000112557321271885,0.029484105482022273,6.2,9.6,421.0
39,39,0.07785769003470966,0.00012964578957047628,0.029341186362038425,5.6,8.4,430.2
40,40,0.09063323839024608,0.00015714067384060804,0.031773213304613766,5.6,8.4,440.6
41,41,0.07959687521436361,0.00014026546176884857,0.028506638706997583,5.0,8.0,451.4
42,42,0.08426246847501599,5.843225465556061e-05,0.03297107188115943,6.8,10.6,459.2
43,43,0.084738833455407,6.481849148558253e-05,0.032883812076829486,7.6,8.2,470.6
44,44,0.08678190227822573,7.371456724971972e-05,0.03624514270003511,9.6,6.4,482.6
45,45,0.08508829927317041,9.524949047702868e-05,0.03844270740771591,8.6,8.2,492.8
46,46,0.10514792938183937,0.00010111800143264329,0.03679973359356666,8.6,7.8,503.8
47,47,0.08682699477449393,0.00015040478789861146,0.036031371802471714,6.8,9.8,513.2
48,48,0.08528197292880271,6.78901520803294e-05,0.03545607919006523,6.8,8.0,523.2
49,49,0.08758192154974218,6.220475485676935e-05,0.0341745535155393,6.6,8.0,533.6
50,50,0.08587659808562541,7.068460138714053e-05,0.03387628598127216,6.2,8.4,544.0
51,51,0.0877460143478698,0.00011566656891969143,0.03647283428585457,6.6,9.6,552.8
52,52,0.10313035796201489,0.00014845140750227565,0.041465292154558964,9.4,7.6,563.2
53,53,0.09894045669204096,8.472754880132738e-05,0.04728145068893204,12.0,9.8,571.4
54,54,0.10019154692473158,0.0001772667348767316,0.047123642545282,11.8,7.4,582.0
55,55,0.09723683207258536,0.00014628228098053161,0.04818023777150472,12.8,9.6,591.2
56,56,0.10472983124450515,0.00018670827586019537,0.047057937291678106,12.2,9.6,600.4
57,57,0.1025270953342097,0.00011229065939982513,0.04704045873201057,12.6,9.8,609.4
58,58,0.10232127148362044,0.00013995960596436893,0.04990818004068868,11.0,9.8,617.2
59,59,0.09850177486392256,0.00017174282039481538,0.05338726088996276,12.6,12.6,623.8
60,60,0.09042203303926637,9.925232966144691e-05,0.05090668863518614,13.0,10.6,631.2
61,61,0.09760925905399495,0.00015392343727761116,0.05227968421241114,11.6,11.2,638.4
62,62,0.09944829922731266,0.00013580235178962063,0.05403710106039974,10.2,12.8,644.4
63,63,0.09426725327955025,0.00018328422987139368,0.05641895398271178,14.0,11.2,650.8
64,64,0.09426725327955025,0.0001819204232582624,0.05866902167509116,14.4,11.8,658.2
65,65,0.09529351820361409,0.00014502736151347393,0.06042478905481232,13.4,12.2,664.0
66,66,0.09843543706248721,6.693331135266483e-05,0.05778356778102824,13.2,13.0,668.6
67,67,0.09042203303926637,0.00017906711956311582,0.059649176365750435,15.2,11.8,674.8
68,68,0.0944961978885056,0.00018670827586019537,0.06290348707485659,15.0,14.2,679.8
69,69,0.09763811674737873,0.00017174282039481538,0.06252528226129801,14.8,12.6,685.6
70,70,0.09068583060622425,0.00018670827586019537,0.0572214426362214,13.4,14.0,690.4
71,71,0.09034855119181293,0.00014483470802351155,0.05990970885805713,13.0,14.4,695.6
72,72,0.09042203303926637,0.00012129180989034957,0.05763884879802713,13.0,15.2,699.6
73,73,0.09042203303926637,0.00017906711956311582,0.06551190302333539,15.6,16.0,702.8
74,74,0.09042203303926637,0.00010689348595852648,0.06932450710251185,17.6,15.0,706.2
75,75,0.09042203303926637,0.00014294205280963138,0.06872666553305903,15.4,14.4,711.0
76,76,0.09042203303926637,0.00018011116115217068,0.06667171396684916,15.6,15.2,715.0
77,77,0.09042203303926637,0.00017906711956311582,0.06007160296712094,11.6,12.0,721.8
78,78,0.09042203303926637,0.00018359902821238897,0.05959665673736295,14.2,12.8,727.4
79,79,0.09068583060622425,0.00015392343727761116,0.055847741180313396,12.2,11.6,732.6
80,80,0.09259185577117468,0.0001741486098092177,0.05829340601570424,13.4,12.0,737.8
81,81,0.09042203303926637,9.925232966144691e-05,0.06366337365029881,17.6,15.0,742.4
82,82,0.09042203303926637,0.00018502967090606878,0.06362869626255967,18.4,14.8,746.4
83,83,0.09042203303926637,0.00016003629683113003,0.054449762004281164,12.2,12.8,751.6
84,84,0.09565875331710051,0.00018670827586019537,0.05458747837577489,13.4,12.6,757.4
85,85,0.09356395189813949,9.106638392801981e-05,0.06011707811997086,15.4,14.6,762.0
86,86,0.09356395189813949,0.00018670827586019537,0.06043470384343006,15.0,13.6,767.6
87,87,0.09356395189813949,0.00018328422987139368,0.06101866720968452,15.6,12.8,773.2
88,88,0.09356395189813949,7.258035063238154e-05,0.05863659478347401,14.0,13.8,778.6
89,89,0.0998321583394922,5.717733518850295e-05,0.059239853300639814,15.8,13.4,784.8
90,90,0.09565875331710051,0.00010689348595852648,0.05939498772766948,14.4,14.8,788.8
91,91,0.09565875331710051,0.00012365026555005536,0.05777071482800884,12.6,10.0,796.8
92,92,0.09880067217597363,0.00010689348595852648,0.06516276713932398,15.6,13.6,802.0
93,93,0.09565875331710051,0.00018328422987139368,0.06042953665334476,14.6,13.4,807.8
94,94,0.09565875331710051,0.00018670827586019537,0.062029464518461294,15.2,11.8,814.0
95,95,0.10232127148362044,0.00012761640605631817,0.06276011589646743,14.0,14.2,818.6
96,96,0.09565875331710051,0.00018670827586019537,0.06047793989107656,13.2,10.8,825.4
97,97,0.09565875331710051,0.00010689348595852648,0.0611337488341452,11.4,12.0,832.2
98,98,0.09565875331710051,0.00018670827586019537,0.06300483048229545,13.4,13.4,838.0
99,99,0.09565875331710051,0.00010689348595852648,0.06807557348338439,14.8,14.0,842.8
100,100,0.09565875331710051,0.00018010338580313353,0.07004563863601757,18.2,16.0,846.4
101,101,0.09565875331710051,0.00010346943996972476,0.07154579262265717,17.4,15.6,849.2
