,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.09637695114189522,0.0,0.014069462508589326,0,0,0
0,1,0.08790006251333524,0.0,0.013538509563013772,2,27,87
0,2,0.10563401786440331,3.143036271245386e-06,0.014698102588919555,5,38,161
0,3,0.10563401786440331,6.232449021384381e-16,0.017505716730837322,0,40,235
0,4,0.10563401786440331,2.723947181737696e-06,0.016018714368717976,0,31,320
0,5,0.09060106524534671,6.232449021384381e-16,0.017302640450863157,5,36,398
0,6,0.1102359895364377,2.723947181737696e-06,0.02093114585257514,3,41,467
0,7,0.1102359895364377,6.232449021384381e-16,0.02129652233265427,1,36,543
0,8,0.09107722903609759,1.2040300767436537e-05,0.020460264141919062,1,31,622
0,9,0.09752454774606373,2.723947181737696e-06,0.020208522889101427,0,31,705
0,10,0.07265501431658362,0.0,0.02141460579808318,1,46,775
0,11,0.09938438729250182,6.232449021384381e-16,0.021352819930723643,2,28,859
0,12,0.12221168746418343,1.356957979045803e-05,0.022077118368046506,2,39,932
0,13,0.07623729841690016,1.356957979045803e-05,0.022552749156680464,0,43,1001
0,14,0.09787991110172092,6.232449021384381e-16,0.023614347320957563,3,35,1078
0,15,0.08366869386806094,6.232449021384381e-16,0.0256822479453737,3,45,1149
0,16,0.08366869386806094,2.723947181737696e-06,0.027010727861589902,3,42,1221
0,17,0.07265501431658362,1.356957979045803e-05,0.026316813007229833,5,47,1286
0,18,0.07265501431658362,0.0,0.02708812160822132,1,60,1344
0,19,0.07265501431658362,6.232449021384381e-16,0.02772932302033117,3,53,1405
0,20,0.07265501431658362,1.113148687615448e-05,0.03052205995231721,2,61,1460
0,21,0.07265501431658362,2.723947181737696e-06,0.03199466022869254,3,45,1531
0,22,0.07265501431658362,4.09297286671355e-05,0.035685342762096214,2,47,1598
0,23,0.07265501431658362,2.380949872312688e-05,0.04058617483749677,3,43,1669
0,24,0.07265501431658362,1.356957979045803e-05,0.046283062929984395,1,55,1730
0,25,0.07265501431658362,1.356957979045803e-05,0.057289065848823324,3,82,1760
0,26,0.0883646086109492,6.232449021384381e-16,0.05996914432691041,4,90,1784
0,27,0.0883646086109492,4.09297286671355e-05,0.06491854838623579,3,107,1791
0,28,0.07265501431658362,1.113148687615448e-05,0.06706635144120522,6,104,1801
0,29,0.07265501431658362,4.09297286671355e-05,0.06827523307668193,5,108,1807
0,30,0.08687012205069386,4.09297286671355e-05,0.06877142273720531,4,111,1812
