,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.0810055313902598,0.0,0.012520516104022715,0,0,0
0,1,0.10402661766930371,0.0,0.016118752153651255,0,42,72
0,2,0.10402661766930371,0.0,0.01583268706332073,3,31,155
0,3,0.10402661766930371,6.232449021384381e-16,0.017882446669779065,2,37,230
0,4,0.13912499028369063,2.723947181737696e-06,0.018151943513394185,1,35,309
0,5,0.08614013460095866,1.2040300767436537e-05,0.016693218759049822,1,22,397
0,6,0.12106433546663806,1.2040300767436537e-05,0.018490592110636705,1,27,484
0,7,0.11021704036963317,0.0,0.01765700161424623,3,34,562
0,8,0.10658840776202451,2.723947181737696e-06,0.01682753597549607,1,31,645
0,9,0.11864170126527245,1.2040300767436537e-05,0.01951588295978867,1,39,726
0,10,0.08687012205069386,1.2040300767436537e-05,0.020097505546574405,0,38,800
0,11,0.07265501431658362,6.232449021384381e-16,0.019150445302010564,1,31,881
0,12,0.07758023958929575,2.723947181737696e-06,0.02161084819369566,2,39,956
0,13,0.0964766592540839,2.723947181737696e-06,0.022332801668345965,3,33,1035
0,14,0.08687012205069386,2.723947181737696e-06,0.024848789599722615,4,40,1109
0,15,0.14152234824124107,2.723947181737696e-06,0.023219776460254644,5,36,1189
0,16,0.14152234824124107,6.232449021384381e-16,0.024589347735397647,2,42,1257
0,17,0.07265501431658362,1.2040300767436537e-05,0.02560200691648692,2,54,1317
0,18,0.07265501431658362,0.0,0.02673883936091822,1,60,1371
0,19,0.07265501431658362,1.113148687615448e-05,0.02647907348346956,3,65,1416
0,20,0.07265501431658362,2.723947181737696e-06,0.027688000228081756,0,82,1452
0,21,0.06628238335632806,1.2040300767436537e-05,0.028783759751886028,1,82,1484
0,22,0.07190575805002825,2.723947181737696e-06,0.02868718770866084,3,92,1506
0,23,0.06480518095377996,1.2040300767436537e-05,0.028780166466320197,1,82,1536
0,24,0.06480518095377996,1.2040300767436537e-05,0.02898439920177172,2,83,1565
0,25,0.06731066018314891,0.0,0.02756318181605373,1,74,1603
0,26,0.06327707933041155,2.723947181737696e-06,0.027243820359491133,1,68,1645
0,27,0.06327707933041155,2.723947181737696e-06,0.02846497498972836,5,99,1660
0,28,0.06327707933041155,2.723947181737696e-06,0.02819253479846762,2,98,1674
0,29,0.06327707933041155,1.2040300767436537e-05,0.02806480135136096,2,95,1695
0,30,0.06604549215609044,1.2040300767436537e-05,0.02948862312523455,3,84,1717
