,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.05073374287618176,5.514778287443675e-06,0.009025567113223758,0,0,0
0,1,0.08415475742128092,1.113148687615448e-05,0.012915017586528426,2,12,8
0,2,0.08415475742128092,0.0,0.015618984317996257,3,6,20
0,3,0.08415475742128092,6.232449021384381e-16,0.016915496382616312,0,8,32
0,4,0.06480518095377996,6.232449021384381e-16,0.014327724387689856,4,5,45
0,5,0.05921276605688419,2.723947181737696e-06,0.014111477192527599,2,7,58
0,6,0.03346955191687866,6.232449021384381e-16,0.015314128040361665,1,9,69
0,7,0.042747066906766565,6.232449021384381e-16,0.01562880130411117,4,12,77
0,8,0.042747066906766565,1.113148687615448e-05,0.0171589822874786,4,11,84
0,9,0.0466750964250977,5.2901385276787945e-05,0.01964103683842899,2,12,90
0,10,0.04594025695557147,5.2901385276787945e-05,0.017906525217034574,3,9,97
0,11,0.04594025695557147,1.356957979045803e-05,0.018122779532248865,4,14,103
0,12,0.07004882624466878,3.143036271245386e-06,0.01913709566839858,7,13,108
0,13,0.04973432054885939,5.2901385276787945e-05,0.02192158798436494,3,14,114
0,14,0.07004882624466878,5.2901385276787945e-05,0.022490224590241737,0,4,130
0,15,0.07004882624466878,6.232449021384381e-16,0.021050762599384956,2,8,142
0,16,0.04681874163592688,5.2901385276787945e-05,0.02140915523223506,5,8,152
0,17,0.04681874163592688,4.290012929824804e-05,0.021310856353784418,2,5,167
0,18,0.04681874163592688,6.232449021384381e-16,0.019253329877949227,3,6,179
0,19,0.04681874163592688,5.2901385276787945e-05,0.020122948836156698,3,9,188
0,20,0.04681874163592688,5.2901385276787945e-05,0.021834034922461876,1,8,198
0,21,0.06120102908552535,5.2901385276787945e-05,0.024005350237136614,5,8,210
0,22,0.07190575805002825,4.09297286671355e-05,0.02158574427274017,4,9,219
0,23,0.05921276605688419,5.2901385276787945e-05,0.021946610021649576,4,6,233
0,24,0.07190575805002825,5.2901385276787945e-05,0.024131370895196215,3,6,243
0,25,0.07190575805002825,5.2901385276787945e-05,0.02787403647626919,4,8,253
0,26,0.07190575805002825,5.2901385276787945e-05,0.02630938107749815,7,12,259
0,27,0.07190575805002825,4.290012929824804e-05,0.024048017972382887,4,6,271
0,28,0.07190575805002825,5.2901385276787945e-05,0.02230194469729041,3,6,283
0,29,0.07190575805002825,5.2901385276787945e-05,0.025533134203786747,0,8,293
0,30,0.05921276605688419,5.2901385276787945e-05,0.02658033588709975,10,5,308
0,31,0.07190575805002825,6.232449021384381e-16,0.02501207029972384,3,6,318
0,32,0.09637695114189522,5.2901385276787945e-05,0.0268409048981596,5,8,330
0,33,0.07190575805002825,2.380949872312688e-05,0.023474489931715945,5,8,340
0,34,0.07190575805002825,1.356957979045803e-05,0.023247248986667513,4,3,355
0,35,0.07190575805002825,3.143036271245386e-06,0.025653830639592624,5,7,366
0,36,0.07190575805002825,1.356957979045803e-05,0.02253372967859659,3,6,380
0,37,0.07190575805002825,5.2901385276787945e-05,0.028618780864532265,7,5,393
0,38,0.07190575805002825,5.2901385276787945e-05,0.03132549137000717,6,6,403
0,39,0.07190575805002825,5.2901385276787945e-05,0.03636374677034713,12,8,411
0,40,0.07190575805002825,5.2901385276787945e-05,0.03858999634395885,15,10,421
0,41,0.07190575805002825,5.2901385276787945e-05,0.03591232670607948,13,9,432
0,42,0.07190575805002825,5.2901385276787945e-05,0.03701246401694627,12,5,443
0,43,0.07190575805002825,5.2901385276787945e-05,0.04173162755296384,17,13,448
0,44,0.05921276605688419,5.2901385276787945e-05,0.03498655156703436,12,12,456
0,45,0.05921276605688419,2.723947181737696e-06,0.03718390443979264,13,10,464
0,46,0.07151767759499544,5.2901385276787945e-05,0.03515455251019502,9,11,471
0,47,0.08790006251333524,6.232449021384381e-16,0.036747085213087165,13,13,478
0,48,0.09637695114189522,5.2901385276787945e-05,0.03844337607297578,9,12,486
0,49,0.09637695114189522,1.113148687615448e-05,0.03181438225178826,5,9,495
0,50,0.09637695114189522,5.2901385276787945e-05,0.03543184478993223,8,9,502
0,51,0.09637695114189522,5.2901385276787945e-05,0.03083592624412162,4,11,509
0,52,0.09637695114189522,5.2901385276787945e-05,0.03086460390246053,8,5,522
0,53,0.09637695114189522,5.2901385276787945e-05,0.03048413979772663,4,11,531
0,54,0.05921276605688419,5.2901385276787945e-05,0.030372152515761596,5,14,535
0,55,0.05921276605688419,5.2901385276787945e-05,0.033315584945026254,7,9,546
0,56,0.05921276605688419,5.2901385276787945e-05,0.02994393277443122,5,8,556
0,57,0.05921276605688419,5.2901385276787945e-05,0.03372218140782531,7,11,563
0,58,0.05921276605688419,5.2901385276787945e-05,0.035418375194924134,9,12,569
0,59,0.05921276605688419,5.2901385276787945e-05,0.04246843429602575,11,16,571
0,60,0.05921276605688419,5.2901385276787945e-05,0.044170619442115665,11,16,573
0,61,0.05921276605688419,5.2901385276787945e-05,0.04164550673052556,10,15,576
0,62,0.05921276605688419,2.723947181737696e-06,0.03729414610319216,7,12,582
0,63,0.05921276605688419,5.2901385276787945e-05,0.03657722216129327,7,14,588
0,64,0.05921276605688419,3.803410188467457e-05,0.030997456534683398,4,10,598
0,65,0.08415475742128092,5.2901385276787945e-05,0.03737497871919757,4,13,605
0,66,0.07190575805002825,5.2901385276787945e-05,0.03625036361883356,4,10,615
0,67,0.1059676051491833,6.232449021384381e-16,0.0336032204945292,3,12,623
0,68,0.07190575805002825,5.2901385276787945e-05,0.03171624242633722,4,4,633
0,69,0.1059676051491833,5.2901385276787945e-05,0.035030654556935104,7,13,640
0,70,0.07190575805002825,5.2901385276787945e-05,0.028642389788112406,7,7,651
0,71,0.05921276605688419,5.2901385276787945e-05,0.025374429851890427,4,5,662
0,72,0.05921276605688419,5.2901385276787945e-05,0.027601864987646274,5,9,671
0,73,0.07190575805002825,3.803410188467457e-05,0.018680183853744176,2,7,682
0,74,0.07190575805002825,0.0,0.016552821193056698,4,6,696
0,75,0.14164713571829352,5.2901385276787945e-05,0.022732409517684606,1,8,706
0,76,0.05921276605688419,2.723947181737696e-06,0.019353874071390914,1,8,718
0,77,0.07190575805002825,5.2901385276787945e-05,0.019637144273076158,3,6,730
0,78,0.07190575805002825,2.723947181737696e-06,0.015750512180769432,5,6,744
0,79,0.06215322936555603,5.2901385276787945e-05,0.01962309258755719,3,12,752
0,80,0.07190575805002825,6.232449021384381e-16,0.016643300347425928,4,7,763
0,81,0.07190575805002825,6.232449021384381e-16,0.015845705644325546,6,8,773
0,82,0.07190575805002825,6.232449021384381e-16,0.021509658663529493,8,14,777
0,83,0.07190575805002825,5.2901385276787945e-05,0.021464960576028674,7,4,791
0,84,0.07190575805002825,5.2901385276787945e-05,0.02204915409347419,6,2,809
0,85,0.05921276605688419,5.2901385276787945e-05,0.024231619191842396,12,6,821
0,86,0.06731066018314891,1.356957979045803e-05,0.02342970761967609,4,7,832
0,87,0.09637695114189522,5.2901385276787945e-05,0.023649368597806624,5,6,844
0,88,0.09637695114189522,3.803410188467457e-05,0.024584015696610447,4,6,858
