,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.06215322936555603,4.09297286671355e-05,0.014625116909544902,0,0,0
0,1,0.053790292889592764,5.514778287443675e-06,0.013593821550744801,1,8,10
0,2,0.053790292889592764,4.09297286671355e-05,0.013895886466896322,0,5,23
0,3,0.0466750964250977,4.09297286671355e-05,0.01761318787672607,5,10,31
0,4,0.08415475742128092,2.723947181737696e-06,0.0181044601416115,5,5,46
0,5,0.06731066018314891,4.09297286671355e-05,0.014922895995416019,2,5,61
0,6,0.04594025695557147,4.09297286671355e-05,0.0177539191302682,2,10,69
0,7,0.07190575805002825,3.143036271245386e-06,0.019265624568109298,1,9,78
0,8,0.07190575805002825,0.0,0.016861078259947114,1,5,91
0,9,0.04594025695557147,4.09297286671355e-05,0.01360285852917653,2,2,107
0,10,0.04594025695557147,2.5383490428103392e-05,0.015445484747259751,2,6,117
0,11,0.04594025695557147,0.0,0.018134505850333823,6,6,129
0,12,0.04594025695557147,4.09297286671355e-05,0.020091973547954462,5,7,142
0,13,0.04594025695557147,4.09297286671355e-05,0.019971094677701317,5,9,153
0,14,0.04594025695557147,4.09297286671355e-05,0.022970989419127733,2,8,163
0,15,0.05921276605688419,4.09297286671355e-05,0.023436871780678995,4,10,171
0,16,0.04594025695557147,4.09297286671355e-05,0.02286951221493369,9,5,184
0,17,0.04594025695557147,2.5383490428103392e-05,0.02336950542769095,6,7,195
0,18,0.04594025695557147,2.380949872312688e-05,0.025468371234520663,8,6,207
0,19,0.04594025695557147,2.380949872312688e-05,0.027172202240281797,9,11,214
0,20,0.08366869386806094,4.09297286671355e-05,0.026753469735068872,4,11,223
0,21,0.04594025695557147,4.09297286671355e-05,0.02374800873803935,5,9,232
0,22,0.04594025695557147,4.09297286671355e-05,0.025280848172507392,2,9,241
0,23,0.04594025695557147,4.09297286671355e-05,0.026793234445790716,3,12,249
0,24,0.04594025695557147,4.09297286671355e-05,0.02663401040274579,3,11,258
0,25,0.05921276605688419,4.09297286671355e-05,0.025328800039199687,4,9,267
0,26,0.05921276605688419,0.0,0.027021893001199886,2,9,276
0,27,0.05921276605688419,2.5383490428103392e-05,0.029299515753116637,5,8,286
0,28,0.05921276605688419,3.143036271245386e-06,0.02879388217643521,8,10,296
0,29,0.05921276605688419,4.09297286671355e-05,0.030916273652678045,9,8,308
0,30,0.05921276605688419,4.09297286671355e-05,0.03406250826333447,6,8,320
