,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.11021704036963317,2.723947181737696e-06,0.011560548504814028,0,0,0
0,1,0.07333484715261304,2.723947181737696e-06,0.012249975535863602,2,17,25
0,2,0.07190575805002825,2.723947181737696e-06,0.017059227473612687,5,18,51
0,3,0.10780582739574128,2.723947181737696e-06,0.017129318905591145,2,14,79
0,4,0.0810902338584037,2.723947181737696e-06,0.01598434832826186,2,14,109
0,5,0.07190575805002825,6.232449021384381e-16,0.016584303589926075,1,14,137
0,6,0.07176743420689335,2.723947181737696e-06,0.01563511380944426,4,14,165
0,7,0.07176743420689335,2.723947181737696e-06,0.01691916725306141,4,14,195
0,8,0.07176743420689335,2.723947181737696e-06,0.016397675690275875,1,11,224
0,9,0.09752454774606373,2.723947181737696e-06,0.018416980252534132,4,12,256
0,10,0.12370787338631367,2.723947181737696e-06,0.018950076031268998,2,10,290
0,11,0.07176743420689335,2.723947181737696e-06,0.016326042431516984,1,12,320
0,12,0.07176743420689335,2.723947181737696e-06,0.020415403120552015,5,17,341
0,13,0.05921276605688419,6.232449021384381e-16,0.016913551984180136,2,15,368
0,14,0.07075597868078407,2.723947181737696e-06,0.01914309104201068,4,15,397
0,15,0.158915333219876,2.723947181737696e-06,0.02035247819163042,1,15,426
0,16,0.158915333219876,2.723947181737696e-06,0.022370176806326376,3,13,453
0,17,0.09437150858581952,2.723947181737696e-06,0.022324852163944277,1,13,482
0,18,0.09370907532418703,2.723947181737696e-06,0.025111060796375265,5,17,507
0,19,0.09370907532418703,2.723947181737696e-06,0.024061704719163825,2,14,533
0,20,0.08790006251333524,2.723947181737696e-06,0.0238234509392614,3,14,559
0,21,0.158915333219876,2.723947181737696e-06,0.025402977630948162,4,15,586
0,22,0.09437150858581952,2.723947181737696e-06,0.02435460513494585,2,10,618
0,23,0.12370787338631367,2.723947181737696e-06,0.02323508608818008,2,7,653
0,24,0.12370787338631367,2.723947181737696e-06,0.02261558345461609,2,23,674
0,25,0.07190575805002825,2.723947181737696e-06,0.021071025479028123,4,18,700
0,26,0.08415475742128092,2.723947181737696e-06,0.021911833597255535,3,15,729
0,27,0.08415475742128092,6.232449021384381e-16,0.021542223580036365,3,18,751
0,28,0.08415475742128092,2.723947181737696e-06,0.022148490138936286,2,16,779
0,29,0.1102359895364377,2.723947181737696e-06,0.025660262180220605,2,27,796
0,30,0.1102359895364377,2.723947181737696e-06,0.026598777132455467,4,15,823
