,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.0660454921560904,0.0,0.0121447819085693,0,0,0
1,1,0.0700488262446687,6.232449021384381e-16,0.0206833137075839,3,12,28
2,2,0.0719057580500282,1.2040300767436537e-05,0.0215498015931633,2,9,33
3,3,0.0719057580500282,2.723947181737696e-06,0.0232985830538944,7,8,34
4,4,0.0719057580500282,2.723947181737696e-06,0.0218553993035735,3,11,31
5,5,0.0868701220506938,3.803410188467457e-05,0.0264834198283148,9,12,32
6,6,0.093709075324187,0.0,0.030689337033846,11,12,30
7,7,0.093709075324187,2.723947181737696e-06,0.0261631489423174,8,4,38
8,8,0.093709075324187,1.356957979045803e-05,0.0314526960350304,14,14,28
9,9,0.093709075324187,2.723947181737696e-06,0.0311638313451548,13,6,36
10,10,0.093709075324187,0.0,0.0403223994576542,17,20,24
11,11,0.093709075324187,0.0,0.0365940041770525,22,8,34
12,12,0.093709075324187,0.0,0.0446509261930644,31,12,28
13,13,0.093709075324187,2.723947181737696e-06,0.0483461343121348,28,20,22
14,14,0.093709075324187,0.0001300266442531,0.0553442177108009,37,20,22
15,15,0.093709075324187,0.0,0.060141546694324,39,18,24
16,16,0.093709075324187,0.0003179683690454,0.0756826848336333,62,34,6
17,17,0.093709075324187,0.0001892480644437,0.0815394281407722,72,34,4
18,18,0.093709075324187,1.113148687615448e-05,0.0784007211304884,71,32,8
19,19,0.093709075324187,2.723947181737696e-06,0.0702384742602462,65,23,21
20,20,0.093709075324187,0.0001892480644437,0.0764348860921182,76,24,14
21,21,0.093709075324187,2.723947181737696e-06,0.0554008763863369,53,8,30
22,22,0.093709075324187,2.723947181737696e-06,0.0468909849307173,46,8,36
23,23,0.093709075324187,2.723947181737696e-06,0.0516917574978691,51,14,30
24,24,0.093709075324187,0.0002162534671138,0.0459585255518099,46,10,32
25,25,0.093709075324187,4.09297286671355e-05,0.0482611493920487,46,14,24
26,26,0.1304484460167822,0.0001892480644437,0.0576274332243617,50,19,23
27,27,0.1304484460167822,0.0001300266442531,0.0693778662146346,60,24,18
28,28,0.1304484460167822,0.0001300266442531,0.0777417009087828,65,33,9
29,29,0.1304484460167822,0.0001300266442531,0.0815650210942885,77,29,13
30,30,0.1304484460167822,0.0001300266442531,0.0799597557284974,72,32,12
