,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.0719057580500282,6.232449021384381e-16,0.0117929475593445,0,0,0
1,1,0.0719057580500282,3.253670389650256e-05,0.0203238701999909,3,6,14
2,2,0.0719057580500282,2.723947181737696e-06,0.0239460831522882,8,8,10
3,3,0.0834797190357113,1.356957979045803e-05,0.0323594595747487,8,4,14
4,4,0.0834797190357113,1.2040300767436537e-05,0.0360986581575334,9,6,12
5,5,0.0834797190357113,2.723947181737696e-06,0.035769376457474,8,3,15
6,6,0.0834797190357113,0.00020485392158,0.0432459177231891,12,8,10
7,7,0.0834797190357113,0.00020485392158,0.0447007127470152,17,5,15
8,8,0.0834797190357113,1.356957979045803e-05,0.0481337844268456,20,8,10
9,9,0.0834797190357113,1.356957979045803e-05,0.0433602237810464,19,4,14
10,10,0.0834797190357113,0.00020485392158,0.0600181123907676,26,12,8
11,11,0.0834797190357113,1.356957979045803e-05,0.0492214556896766,23,6,14
12,12,0.0834797190357113,1.356957979045803e-05,0.0624901476691095,24,8,12
13,13,0.0834797190357113,0.00020485392158,0.052673360542529,25,4,14
14,14,0.0834797190357113,7.827902127537426e-05,0.0660071005343584,29,10,8
15,15,0.0834797190357113,0.0011377069312243,0.0713862480265834,35,13,5
16,16,0.0834797190357113,0.0719057580500282,0.0832482398159976,44,18,0
17,17,0.0834797190357113,0.0011377069312243,0.0791784253143429,41,18,0
18,18,0.0834797190357113,0.0014302783567341,0.0789188971857981,40,15,1
19,19,0.0834797190357113,0.00020485392158,0.0801520756821969,41,16,2
20,20,0.0834797190357113,0.0059918411048527,0.0808211462658581,44,19,1
21,21,0.0834797190357113,0.0253803857040585,0.0815043559571055,43,16,2
22,22,0.0834797190357113,0.0144746876094649,0.0821266792038241,45,18,0
23,23,0.0834797190357113,0.0834797190357113,0.0834797190357113,46,18,0
24,24,0.0834797190357113,0.0011377069312243,0.0774962906896043,40,16,4
25,25,0.0834797190357113,0.0253803857040585,0.0813177971537873,44,17,1
26,26,0.0834797190357113,0.0253803857040585,0.0823177323690782,44,18,0
27,27,0.0834797190357113,0.0144746876094649,0.081149647611236,46,18,0
28,28,0.0834797190357113,0.0834797190357113,0.0834797190357113,47,18,0
29,29,0.0834797190357113,0.0167812917602109,0.0810997115287247,45,19,1
30,30,0.0834797190357113,0.0144746876094649,0.0788673026194162,42,16,2
