,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.17016300865697914,0.044145948517044085,0.09569753956352833,0,0,0
0,1,0.13188357420503355,0.05987094054039055,0.09421807653414391,0,6,14
0,2,0.17580073120688502,0.05554639333780435,0.10083869647958706,1,8,8
0,3,0.1686070762942594,0.046556690408013204,0.10043444099265873,3,0,20
0,4,0.14600505853362844,0.05078950532339142,0.09862761465217641,1,6,12
0,5,0.14573743821481655,0.07161065750800648,0.10354086561595396,2,6,8
0,6,0.14573743821481655,0.04691537661825442,0.10122217424426315,1,6,14
0,7,0.14573743821481655,0.05078950532339142,0.10449087878071744,3,6,12
0,8,0.14678680589919743,0.04279757866283917,0.10167121129495754,0,11,9
0,9,0.14678680589919743,0.04563317956279372,0.0955562999770767,1,0,16
0,10,0.17770742976575246,0.04963655257402462,0.09923611704303718,1,6,12
0,11,0.1354050884676183,0.046965774126591656,0.10050130801983446,3,4,14
0,12,0.1553848462776998,0.05078950532339142,0.10540548931535351,2,2,14
0,13,0.17460983034584707,0.046494953191471886,0.10321543163964439,1,6,12
0,14,0.13017333862405803,0.057052356711213476,0.10063539710206376,1,7,13
0,15,0.1549581063581643,0.05259183292980631,0.10498711816407838,1,4,10
0,16,0.14211067922596596,0.05642310598182342,0.10349130227918278,2,8,10
0,17,0.15533312987205533,0.05078950532339142,0.11126118842826903,2,4,16
0,18,0.21341349356710582,0.05650471987509097,0.10062000563128959,0,6,12
0,19,0.1549581063581643,0.06701112240223223,0.10665293387493023,3,6,10
0,20,0.1609760178336557,0.05078950532339142,0.1102202401501064,1,6,14
0,21,0.1609760178336557,0.04563317956279372,0.11097869708140072,4,4,12
0,22,0.14469850424265976,0.04563317956279372,0.11327923712677081,2,8,10
0,23,0.1704424236104716,0.050729459673830656,0.1104065093197669,2,6,10
0,24,0.1440729232803938,0.050082127063682404,0.11625142927939397,5,6,12
0,25,0.15575354442580638,0.05078950532339142,0.11975146954358712,1,6,12
0,26,0.15575354442580638,0.050082127063682404,0.12031319683145754,5,8,12
0,27,0.15516861623565462,0.04563317956279372,0.11962448465202251,1,8,10
0,28,0.15562722111363267,0.04279757866283917,0.1227764982795511,2,10,8
0,29,0.21341349356710582,0.0739809560155966,0.12738371550637922,4,2,12
0,30,0.21341349356710582,0.062339974786114465,0.12736669690108748,3,0,18
