,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.0459402569555714,1.356957979045803e-05,0.0113922134076546,0,0,0
1,1,0.0719057580500282,0.0012940641521512,0.0218363658860678,0,4,4
2,2,0.0868701220506938,0.000770234978882,0.0287476851403181,4,2,6
3,3,0.0868701220506938,0.00020485392158,0.0279725982886251,4,2,6
4,4,0.0868701220506938,2.723947181737696e-06,0.02687440921275,6,0,8
5,5,0.0868701220506938,0.0002188766282482,0.0347055216008246,8,4,6
6,6,0.0868701220506938,0.0003179683690454,0.0387380793599404,7,2,6
7,7,0.0868701220506938,7.827902127537426e-05,0.0524304788560399,8,3,7
8,8,0.0868701220506938,2.5383490428103392e-05,0.062309512410682,13,4,6
9,9,0.0868701220506938,0.0020370879755711,0.0778477029478183,20,6,2
10,10,0.0868701220506938,0.0017897401433005,0.083630353458336,22,8,0
11,11,0.0868701220506938,0.0167812917602109,0.0846091920413234,24,8,0
12,12,0.0868701220506938,0.0167812917602109,0.0827538087032172,22,8,2
13,13,0.0868701220506938,0.0868701220506938,0.0868701220506938,24,8,0
14,14,0.0868701220506938,0.0167812917602109,0.0832723092597832,23,8,2
15,15,0.0868701220506938,0.0868701220506938,0.0868701220506938,25,6,0
16,16,0.0868701220506938,0.0167812917602109,0.0846091920413234,26,10,0
17,17,0.0868701220506938,0.0167812917602109,0.0832723092597832,24,8,0
18,18,0.0868701220506938,0.0167812917602109,0.0832723092597832,22,8,2
19,19,0.0868701220506938,0.0868701220506938,0.0868701220506938,20,8,0
20,20,0.0868701220506938,0.0016689232468514,0.0776324846507526,18,6,2
21,21,0.0868701220506938,0.0167812917602109,0.0811315407771165,20,7,1
22,22,0.0868701220506938,0.0868701220506938,0.0868701220506938,24,10,0
23,23,0.0868701220506938,0.0868701220506938,0.0868701220506938,25,8,0
24,24,0.0868701220506938,0.0660454921560904,0.0861983597960292,24,8,0
25,25,0.0868701220506938,0.0868701220506938,0.0868701220506938,25,8,0
26,26,0.0868701220506938,0.0156339838231364,0.0802036169890445,21,6,2
27,27,0.0868701220506938,0.018267807383872,0.0846571441582157,26,10,0
28,28,0.0868701220506938,0.0167812917602109,0.0832723092597832,24,8,2
29,29,0.0868701220506938,0.0017897401433005,0.0841255936020682,26,10,0
30,30,0.0868701220506938,0.0167812917602109,0.0832723092597832,24,8,2
