,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.1238013803691703,1.356957979045803e-05,0.0149847771296706,0,0,0
1,1,0.1238013803691703,1.356957979045803e-05,0.017631631414686,2,6,12
2,2,0.1238013803691703,4.09297286671355e-05,0.0191360845027678,2,6,14
3,3,0.1238013803691703,2.723947181737696e-06,0.0241237693776154,4,6,14
4,4,0.1238013803691703,2.723947181737696e-06,0.0260561146959977,6,2,16
5,5,0.1238013803691703,2.723947181737696e-06,0.0304165156279483,6,6,14
6,6,0.1238013803691703,0.0004462945456119,0.0341853625022101,7,8,12
7,7,0.1238013803691703,0.0003724164741206,0.035419667715858,6,6,14
8,8,0.1238013803691703,4.09297286671355e-05,0.0430370509124424,15,2,16
9,9,0.1238013803691703,0.0004215872984765,0.0510959297576041,9,6,10
10,10,0.1238013803691703,4.09297286671355e-05,0.0717415380279373,17,8,10
11,11,0.1238013803691703,5.514778287443675e-06,0.0841363619863494,27,10,8
12,12,0.1238013803691703,0.0004831813570228,0.1067702199356907,34,13,5
13,13,0.1238013803691703,0.00020485392158,0.1178078632357198,39,14,2
14,14,0.1238013803691703,0.0088681974231951,0.1172745942893207,38,16,2
15,15,0.1238013803691703,0.0077551874951464,0.1166880645899135,39,17,1
16,16,0.1238013803691703,0.00020485392158,0.1135171475225042,41,16,2
17,17,0.1238013803691703,0.0245269307900799,0.1165741519395098,41,16,2
18,18,0.1238013803691703,0.0088681974231951,0.1136136835076744,42,16,2
19,19,0.1238013803691703,0.0088681974231951,0.1162756105564435,42,17,1
20,20,0.1238013803691703,0.0245269307900799,0.116585657048643,40,16,2
21,21,0.1238013803691703,0.0313210363892401,0.1170171152522102,40,18,2
22,22,0.1238013803691703,0.00020485392158,0.1181348598590196,44,18,0
23,23,0.1238013803691703,0.0004831813570228,0.1213833764669713,47,18,0
24,24,0.1238013803691703,0.0,0.1197828270829054,45,18,2
25,25,0.1238013803691703,0.0017472033477151,0.1128600266565287,41,14,4
26,26,0.141522348241241,0.0167812917602109,0.1150952507254892,40,16,0
27,27,0.141522348241241,0.0313210363892401,0.1208232301720736,44,18,0
28,28,0.141522348241241,0.0063661277468429,0.1210322509760239,44,14,4
29,29,0.141522348241241,4.290012929824804e-05,0.1215815124054389,40,10,8
30,30,0.141522348241241,0.00020485392158,0.1230955762122275,37,10,8
31,31,0.141522348241241,0.0063661277468429,0.1333127069383483,40,12,8
32,32,0.141522348241241,4.290012929824804e-05,0.1311788201062467,39,16,2
33,33,0.141522348241241,0.0010581155731378,0.136222312300743,43,17,1
34,34,0.141522348241241,0.0009689839992642,0.1361434088504231,42,18,0
35,35,0.141522348241241,0.0063661277468429,0.1340612942639705,42,18,0
36,36,0.141522348241241,0.0009689839992642,0.1339554679159788,42,18,0
37,37,0.141522348241241,2.380949872312688e-05,0.1338765316396407,39,16,2
38,38,0.141522348241241,4.290012929824804e-05,0.1365516777496429,41,20,0
39,39,0.141522348241241,4.290012929824804e-05,0.1285355704518448,38,18,2
40,40,0.141522348241241,0.0063661277468429,0.1388192238313531,43,18,0
41,41,0.141522348241241,4.290012929824804e-05,0.1311888566261283,38,16,2
42,42,0.141522348241241,0.0368016866002201,0.1394279350084206,42,17,1
43,43,0.141522348241241,0.141522348241241,0.1415223482412411,44,18,0
44,44,0.141522348241241,0.141522348241241,0.1415223482412411,42,18,0
45,45,0.141522348241241,2.380949872312688e-05,0.1358662555709081,40,18,2
46,46,0.141522348241241,0.0002162534671138,0.1387516405005719,43,20,0
47,47,0.141522348241241,4.290012929824804e-05,0.1260684676026774,36,16,4
48,48,0.141522348241241,0.00020485392158,0.1335930150150032,38,18,2
49,49,0.141522348241241,4.290012929824804e-05,0.1347514282106711,40,16,2
50,50,0.141522348241241,0.0002640235774947,0.1364366916316949,41,18,2
51,51,0.141522348241241,0.1238013803691703,0.1404799383664134,43,18,0
52,52,0.141522348241241,0.0001300266442531,0.1360880797062404,45,20,0
53,53,0.141522348241241,0.00020485392158,0.1315528867335203,41,18,2
54,54,0.141522348241241,0.141522348241241,0.1415223482412411,45,18,0
55,55,0.141522348241241,0.0063661277468429,0.1366151975943131,43,18,2
56,56,0.141522348241241,4.290012929824804e-05,0.1359896348691142,42,18,0
