gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0.01304002422409723,1.7747575057297795e-05,0.001408157878307473,0.0,0.0,0.0
1,0.010943230546574834,3.164410412804671e-05,0.002418335778509271,1.3416407864998738,2.0,1.6733200530681511
2,0.008781044892768541,1.824278411590085e-05,0.004957627310121037,2.0,1.51657508881031,2.16794833886788
3,0.006665538333252025,7.58094412838315e-05,0.006500728393287661,3.96232255123179,3.63318042491699,4.147288270665544
4,0.007922549717954515,0.00013718430432567552,0.009416613572484793,6.099180272790763,1.4832396974191326,0.8944271909999157
5,0.00668229144413845,1.697448762763874e-05,0.010843116359088762,6.6332495807108005,2.7928480087537886,2.6076809620810595
6,0.00358399783333656,3.597445912158631e-05,0.008338439820565828,5.495452665613635,1.6733200530681511,1.4832396974191326
7,0.00358399783333656,9.95905443537932e-05,0.011354374159432306,7.918333157931662,2.280350850198276,3.03315017762062
8,0.009318881685647382,8.192931391811587e-05,0.014508434837639318,11.627553482998906,3.3466401061363023,3.847076812334269
9,0.009318881685647382,0.007482958220523337,0.020105724334448575,16.099689437998485,5.727128425310541,5.403702434442518
10,0.008065913265239163,0.007061420927899683,0.01935072265238708,16.742162345408076,6.041522986797286,5.718391382198319
11,0.011360612330084948,0.009402170057430603,0.0191881860026769,16.724233913695418,6.54217089351845,6.618156843109719
12,0.011360612330084948,0.047482363055944964,0.02290230415570932,17.30028901492689,8.648699324175862,8.246211251235321
13,0.011360612330084948,0.039409014735368265,0.018623052787832113,15.757537878742351,4.774934554525329,5.916079783099616
14,0.011360612330084948,0.044734359361844785,0.018346389866653674,15.303594349041012,7.127411872482185,7.26636084983398
15,0.011360612330084948,0.04704817818215982,0.01727756998803049,16.38596960817394,6.54217089351845,6.340346993658944
16,0.011360612330084948,0.03948702043073716,0.008778452865013445,11.326958991715296,5.830951894845301,5.830951894845301
17,0.016965558832574282,0.03770928692633437,0.009764051177625636,11.193748255164577,6.418722614352485,6.418722614352485
18,0.016965558832574282,0.037121903826800744,0.008585450637358842,9.6591925128346,3.63318042491699,3.3166247903554
19,0.016965558832574282,0.03627189457503754,0.011028549792581124,9.659192512834599,4.09878030638384,3.7416573867739413
20,0.0284653562520861,0.0011191475528155377,0.010800260199157254,8.46758525200662,3.4351128074635335,3.492849839314596
21,0.0284653562520861,0.04671732432284798,0.012050321779102494,7.362064927722384,5.366563145999495,5.0199601592044525
22,0.0284653562520861,0.035664493214569166,0.014845658412806485,5.431390245600107,3.03315017762062,2.6076809620810595
23,0.0284653562520861,0.03669499774740044,0.01679226825190064,4.549725266430931,3.0331501776206196,2.6076809620810595
24,0.0284653562520861,0.03694680588465161,0.022245054324652097,3.999999999999999,4.06201920231798,3.7815340802378077
25,0.0284653562520861,0.06046431129936751,0.028910530342031122,4.39317652729776,1.2247448713915892,0.8366600265340756
26,0.0284653562520861,0.061546061423184556,0.029279756834597978,4.219004621945797,0.44721359549995815,1.0
27,0.0284653562520861,0.01019752768790857,0.02645680810389354,3.7013511046643504,1.51657508881031,0.8366600265340756
28,0.0284653562520861,0.030698935329157403,0.027328830529067143,3.2093613071762417,0.8944271909999161,0.8944271909999159
29,0.0284653562520861,0.0369192406113739,0.02829361612965963,2.7386127875258306,0.0,0.894427190999916
30,0.0284653562520861,0.03706204525996307,0.026262609861752696,2.9495762407505257,1.1401754250991378,0.8366600265340756
31,0.0284653562520861,0.054367923203752805,0.02679003168247794,2.4899799195977463,1.0954451150103324,0.0
32,0.0284653562520861,0.03783860442767278,0.026852714609100718,1.6733200530681505,0.8944271909999156,0.4472135954999579
33,0.0284653562520861,0.050516489817921936,0.02838367723821962,1.6431676725154978,0.8944271909999161,0.8944271909999159
34,0.0284653562520861,0.05067340665654654,0.028553473052489092,2.966479394838265,1.4142135623730951,0.894427190999916
35,0.0284653562520861,0.0417487111869028,0.028157465084479777,3.1144823004794886,1.4142135623730951,0.0
36,0.0284653562520861,0.02149111925264313,0.026090999253737767,2.8809720581775875,1.3038404810405302,0.7071067811865476
37,0.0284653562520861,0.022349398975545602,0.024766782200093013,3.0495901363953815,0.44721359549995765,0.8944271909999159
38,0.0284653562520861,0.043310752406460394,0.028363438579844746,1.6733200530681513,1.3416407864998734,0.8944271909999159
39,0.0284653562520861,0.05155296406806438,0.028954313238752326,2.7018512172212596,0.8944271909999161,0.0
40,0.0284653562520861,0.03742766800198972,0.024103595018934113,2.5495097567963922,1.9493588689617927,1.3416407864998738
41,0.0284653562520861,0.05008545263503012,0.028747482197758613,1.8165902124584943,1.6733200530681507,0.0
42,0.0284653562520861,0.04991100938726801,0.027246606973701414,3.3466401061363027,1.7320508075688774,0.8944271909999159
43,0.0284653562520861,0.039057298180731996,0.026146813464599575,3.2093613071762417,0.8944271909999163,0.894427190999916
44,0.0284653562520861,0.04712022577461015,0.023588518742971444,3.974921382870358,1.7888543819998315,1.7888543819998317
45,0.0284653562520861,0.046686794481848266,0.027290870565367623,3.3615472627943217,0.8366600265340757,0.5477225575051661
46,0.0284653562520861,0.03841645867344285,0.027868947511725205,3.8340579025361627,1.341640786499874,0.894427190999916
47,0.0284653562520861,0.03770973281325639,0.02574055200364629,3.3911649915626345,0.8944271909999163,0.894427190999916
48,0.0284653562520861,0.036680407603830914,0.027711995233912105,2.4083189157584592,1.4832396974191326,0.8944271909999159
49,0.0284653562520861,0.04569007879738104,0.02562687633552277,3.435112807463533,1.673320053068151,0.8944271909999159
50,0.0284653562520861,0.05566893356149644,0.026608429771600012,3.7416573867739418,1.788854381999832,1.0
