,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.0637596909563927,3.787691007005016e-05,0.0125829039722271,0.0,0.0,0.0
1,1,0.0935659607688619,9.255864726787262e-05,0.0213119302993026,2.6,4.8,13.6
2,2,0.0935659607688619,0.0001639074657309,0.0244634995057729,5.0,6.4,12.4
3,3,0.1089284192087312,5.682352693842337e-05,0.030489972089262,6.6,4.0,14.799999999999997
4,4,0.1089284192087312,0.0001598663945275,0.0326337686793377,6.6,4.4,14.0
5,5,0.1089284192087312,6.13346928775622e-05,0.035805972789191,6.2,3.8,14.600000000000009
6,6,0.1089284192087312,5.2973601665143416e-05,0.0398486519435103,7.4,4.0,14.799999999999997
7,7,0.1089284192087312,8.956250236958535e-05,0.0451721938798897,9.6,6.0,13.200000000000003
8,8,0.1089284192087312,0.0034001542894869,0.0545720269590346,14.6,9.0,9.399999999999991
9,9,0.1089284192087312,0.0007307354077252,0.0582907351695481,15.0,8.6,10.200000000000003
10,10,0.1089284192087312,0.0009211211912876,0.0659825234705158,17.8,10.0,8.799999999999997
11,11,0.1117784041405754,0.0228046659287648,0.0662552297921426,19.2,9.2,9.200000000000003
12,12,0.1117784041405754,0.0211664403477925,0.0698467094890584,20.6,9.8,9.400000000000006
13,13,0.1120567136349361,0.0023424096302664,0.0715267380409532,21.6,9.4,8.599999999999994
14,14,0.1129911774483323,0.0102906300218359,0.0765707243503574,22.8,10.6,8.199999999999989
15,15,0.1129911774483323,0.0215018558232005,0.0828302962893024,27.8,11.2,6.400000000000006
16,16,0.1129911774483323,0.0213578417900857,0.0868344791468653,30.8,12.8,5.599999999999994
17,17,0.1129911774483323,0.0250484343372395,0.0914364496525094,36.4,14.0,4.0
18,18,0.1156112011438974,0.0011597158019039,0.0912195722903299,35.4,14.4,4.400000000000006
19,19,0.1156112011438974,0.0230745139720517,0.0896670617309727,34.0,14.6,5.0
20,20,0.1156112011438974,0.0223398549453862,0.0868647019193658,34.0,14.4,4.800000000000011
21,21,0.1156112011438974,0.0055269702020662,0.094790481100377,37.2,15.6,2.4000000000000057
22,22,0.1156112011438974,0.0674098184350659,0.0949063846577776,37.6,14.2,4.199999999999989
23,23,0.1156112011438974,0.0344801421531903,0.0971634732023996,36.8,13.6,4.0
24,24,0.1156112011438974,0.0508761924522974,0.098568350907294,37.0,15.2,4.0
25,25,0.1156112011438974,0.0416517580995514,0.1007803151707528,38.2,15.6,3.1999999999999886
26,26,0.1156112011438974,0.030989982788017,0.1024546771283231,38.4,16.0,1.6000000000000227
27,27,0.1156112011438974,0.0066365156095987,0.1045409797356837,38.8,16.4,2.3999999999999773
28,28,0.1156112011438974,0.0429581119885414,0.1090301764193573,40.2,18.2,1.0
29,29,0.1156112011438974,0.0299898083687775,0.1123835178503408,40.0,18.4,0.8000000000000114
30,30,0.1156112011438974,0.03140145476923,0.1112547958376974,40.8,18.0,1.1999999999999886
