,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.0341953290734357,4.09297286671355e-05,0.0112152152545775,0,0,0
1,1,0.0829211507830762,6.232449021384381e-16,0.0184894615756743,0,6,12
2,2,0.0829211507830762,1.356957979045803e-05,0.01529135595258,0,2,16
3,3,0.0829211507830762,0.0001874444584537,0.01940983646322,0,8,8
4,4,0.0883646086109492,5.2901385276787945e-05,0.0244665598248765,3,4,14
5,5,0.0883646086109492,2.723947181737696e-06,0.0289764387729389,1,2,14
6,6,0.0883646086109492,7.256214972115208e-05,0.0428974366936613,9,6,12
7,7,0.0883646086109492,0.00020485392158,0.0532857594942991,13,10,8
8,8,0.0883646086109492,0.0001222164708359,0.05944885047528,23,8,10
9,9,0.0883646086109492,2.723947181737696e-06,0.0731456899138714,34,14,6
10,10,0.0883646086109492,0.0040441673212056,0.0840623930933219,40,18,2
11,11,0.0883646086109492,0.018627507971498,0.0847222809109951,41,17,1
12,12,0.0883646086109492,0.0883646086109492,0.0883646086109492,41,18,0
13,13,0.0883646086109492,0.0883646086109492,0.0883646086109492,43,18,0
14,14,0.0883646086109492,0.0883646086109492,0.0883646086109492,44,18,0
15,15,0.0883646086109492,0.0883646086109492,0.0883646086109492,46,20,0
16,16,0.0883646086109492,0.0883646086109492,0.0883646086109492,44,18,0
17,17,0.0883646086109492,0.0040441673212056,0.0866781997851543,42,17,1
18,18,0.0883646086109492,0.0355325786267865,0.087328686454397,46,20,0
19,19,0.0883646086109492,0.0883646086109492,0.0883646086109492,46,18,0
20,20,0.0883646086109492,0.0027717164825943,0.0866527507683821,46,17,1
21,21,0.0883646086109492,0.0883646086109492,0.0883646086109492,46,18,0
22,22,0.0883646086109492,0.0883646086109492,0.0883646086109492,43,18,0
23,23,0.0883646086109492,0.0883646086109492,0.0883646086109492,46,20,0
24,24,0.0883646086109492,4.09297286671355e-05,0.0849159472341216,44,16,2
25,25,0.0883646086109492,2.723947181737696e-06,0.0865973709176738,44,17,1
26,26,0.0883646086109492,0.0040441673212056,0.0853438724946904,42,17,1
27,27,0.0883646086109492,2.723947181737696e-06,0.0852646285069645,42,18,0
28,28,0.0883646086109492,0.0726550143165836,0.0877362248391745,45,16,2
29,29,0.0883646086109492,2.723947181737696e-06,0.0835443694707498,43,18,2
30,30,0.0883646086109492,0.0883646086109492,0.0883646086109492,46,18,0
31,31,0.0883646086109492,0.0883646086109492,0.0883646086109492,45,18,0
32,32,0.0883646086109492,0.0883646086109492,0.0883646086109492,44,20,0
33,33,0.0883646086109492,0.0883646086109492,0.0883646086109492,46,18,0
34,34,0.0883646086109492,0.0726550143165836,0.0880565773502753,46,18,0
35,35,0.0883646086109492,0.0027717164825943,0.0866863166084324,43,18,0
36,36,0.0883646086109492,0.0040441673212056,0.0866781997851543,43,19,1
37,37,0.0883646086109492,0.0001222164708359,0.0865997607681469,43,18,0
38,38,0.0883646086109492,0.0883646086109492,0.0883646086109492,42,18,0
39,39,0.0883646086109492,0.0883646086109492,0.0883646086109492,42,18,0
40,40,0.0883646086109492,0.0883646086109492,0.0883646086109492,40,18,0
41,41,0.0883646086109492,0.0883646086109492,0.0883646086109492,45,18,0
42,42,0.0883646086109492,0.0883646086109492,0.0883646086109492,48,20,0
43,43,0.0883646086109492,0.0040441673212056,0.0867112666248758,45,18,0
44,44,0.0883646086109492,0.0883646086109492,0.0883646086109492,42,18,0
45,45,0.0883646086109492,0.0883646086109492,0.0883646086109492,45,20,0
46,46,0.0883646086109492,0.0883646086109492,0.0883646086109492,45,18,0
47,47,0.0883646086109492,0.0883646086109492,0.0883646086109492,46,18,0
48,48,0.0883646086109492,0.018627507971498,0.0869972144807639,46,20,0
49,49,0.0883646086109492,0.0883646086109492,0.0883646086109492,47,18,0
50,50,0.0883646086109492,0.0883646086109492,0.0883646086109492,46,20,0
