,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.14949359719951746,0.039125171103706335,0.09058353836089912,0,0,0
0,1,0.1604252477470125,0.048824248909216654,0.09708595851588452,0,5,7
0,2,0.1604252477470125,0.05118690319015603,0.0976688172801632,0,3,15
0,3,0.1604252477470125,0.05180237363303321,0.09899242189607185,0,6,6
0,4,0.14344910798664928,0.066516799684508,0.10474220735783017,1,6,8
0,5,0.1596428973309353,0.07386349863193417,0.10628908405013224,3,9,11
0,6,0.14428211522278941,0.04798068381966724,0.10518462890001802,2,6,16
0,7,0.13451757784165072,0.05826315250870056,0.10779352080538503,0,2,14
0,8,0.12843558566728597,0.06313207760092478,0.10395720007199673,1,5,11
0,9,0.12667253674631998,0.06900194641530717,0.11092405587276381,8,10,6
0,10,0.1283324734359626,0.06014242242361828,0.11243448649544059,4,4,12
0,11,0.1285534997354322,0.07005610722710887,0.11417148799696539,1,14,4
0,12,0.12350546974268725,0.0652541561573255,0.11758602433491847,1,8,12
0,13,0.13323338728227455,0.058587146905351495,0.11448123228237772,4,12,10
0,14,0.1363529466613247,0.07005610722710887,0.11549309517423673,3,12,6
0,15,0.14255514924460536,0.07161065750800648,0.11772928076896876,3,10,6
0,16,0.14662369876197212,0.06704558866553437,0.11234805051942603,7,4,10
0,17,0.14662369876197212,0.04140034379538835,0.11229242032783422,4,10,12
0,18,0.1235886279088005,0.07161065750800648,0.11097274903444095,5,8,10
0,19,0.1936587385976354,0.06551679385479268,0.11547545253852354,3,8,6
0,20,0.14972828239358513,0.06196677646874631,0.11645948881029057,6,10,6
0,21,0.14972828239358513,0.059384026687701895,0.11468908374959882,10,4,10
0,22,0.14972828239358513,0.06431212133263926,0.11227649025771962,6,11,9
0,23,0.12885329729869538,0.06248530129417224,0.11500404413111791,4,8,10
0,24,0.12350546974268725,0.07169550502619323,0.11501354203166286,5,12,8
0,25,0.14972828239358513,0.07472043026731207,0.11892383621537485,9,12,4
0,26,0.14972828239358513,0.07169550502619323,0.11952243364075883,4,17,5
0,27,0.13323338728227455,0.04140034379538835,0.11587510184645662,2,12,6
0,28,0.12530245155918684,0.07821311793469919,0.11800029658133494,7,14,4
0,29,0.12530245155918684,0.08141794504997485,0.11644684439525248,10,15,3
0,30,0.12530245155918684,0.06874792825135373,0.11718990826561455,7,12,8
